id,name,weightClass,wins,losses,draws,height,weight,reach,strikesLandedPerMin,strikingAccuracy,strikesAbsorbedPerMin,strikeDefense,takedownAvgPer15Min,takedownAccuracy,takedownDefense,submissionAvgPer15Min,avgFightTime,KoTkoPercentage,SubmissionPercentage,DecisionPercentage,StrikesByStanding,StrikesByClinching,StrikesByGround,StrikesToHead,StrikesToBody,StrikesToLegs,image
carrese-archer,Carrese Archer,Unknown,0,0,0,72,184,73,0,0%,0,0,0,0%,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,
alice-ardelean,Alice Ardelean,Women's Strawweight Division,9,7,0,63,115,62,4.97,45%,100,100,0,40%,0,53,15:00,44%,44%,11%,95%,3%,3%,68%,17%,15%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/1/ARDELEAN_ALICE_R_07-27.png?itok=KMAsyHI5
daniel-argueta,Dan Argueta,Bantamweight Division,9,3,0,67,138.5,68,3.44,43%,436,56,1.45,36%,0,51,12:03,22%,44%,33%,66%,17%,17%,69%,20%,12%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/ARGUETA_DAN_L_10-12.png?itok=zG7Yh-F-
rheza-arianto,Rheza Arianto,Featherweight Division,0,0,0,,,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
hashem-arkhagha,Hashem Arkhagha,Middleweight Division,0,1,0,74,189,75,8.97,44%,0,50,0,0%,0,43,4:21,0%,0%,0%,63%,38%,0%,88%,13%,0%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-09/71768%252Fprofile-galery%252Ffullbodyleft-picture%252FARKHAGHA_HASHEM_L.png?itok=siKxO9TS
andrei-arlovski,Andrei Arlovski,Heavyweight Division,34,24,0,75,245,77,3.22,46%,37,77,0.2,35%,0.4,57,9:24,50%,9%,41%,85%,13%,2%,55%,21%,24%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-06/ARLOVSKI_ANDREI_L_06-29.png?itok=lskZeRsK
garrett-armfield,Garrett Armfield,Bantamweight Division,10,5,0,66,135,70,3.64,54%,110,65,0.55,50%,0.55,56,10:52,60%,30%,10%,85%,5%,10%,77%,18%,6%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-01/ARMFIELD_GARRETT_L_08-26.png?itok=g-Nzv9iK
austin-arnett,Austin Arnett,Featherweight Division,16,6,0,72,145,72,6.38,41%,44,57,0.22,18%,0,62,13:46,44%,31%,25%,86%,9%,6%,80%,18%,1%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Austin_Arnett/ARNETT_AUSTIN_L.png?VersionId=FrJtPxGTmLeR_9EEVuRieNA8g7lCR27E&itok=u_Lb0a9o
eli-aronov,Eli Aronov,Middleweight Division,0,1,0,,,,6.49,69%,1216,0,0,100%,0,38,1:14,0%,0%,0%,91%,0%,9%,45%,0%,55%,
akbarh-arreola,Akbarh Arreola,Lightweight Division,23,9,1,70,155,71,4.01,45%,107,33,0.36,100%,0.72,57,10:28,22%,74%,4%,72%,4%,24%,53%,27%,21%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-08/Akbarh-Arreola_486122_LeftFullBodyImage.png?itok=5U8SFE6I
matt-arroyo,Matt Arroyo,Welterweight Division,3,3,0,72,171,,2.01,47%,212,100,5.29,36%,0,59,9:27,0%,0%,0%,39%,20%,41%,70%,15%,15%,
antonio-arroyo,Antonio Arroyo,Middleweight Division,9,5,0,75,186,73.5,2.02,66%,114,42,0.23,42%,0.23,50,13:11,44%,44%,11%,80%,1%,20%,48%,28%,24%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-06/71421%252Fprofile-galery%252Ffullbodyleft-picture%252FARROYO_ANTONIO_L_06-05.png?itok=iispLWvh
cesar-arzamendia,Cesar Arzamendia,Lightweight Division,7,4,0,71,155,71,5.2,45%,732,0,2.44,75%,0,56,3:05,20%,80%,0%,73%,27%,0%,55%,36%,9%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/7f43157f-e765-4718-a728-dca6b3de67ea%252FCesar-Arzamendia_570127_LeftFullBodyImage.png?itok=ILjJ7D2B
teddy-ash,Teddy Ash,Middleweight Division,0,0,0,,185.5,,6.8,62%,0,100,0,0%,0,28,15:00,0%,0%,0%,58%,42%,0%,73%,20%,6%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/faa35dea-247f-47f0-b666-ee9737f770bc%252FASH_TEDDY_R.png?itok=C3PePYDr
arman-ashimov,Arman Ashimov,Flyweight Division,0,0,0,,,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
yanal-ashmouz,Yanal Ashmouz,Lightweight Division,8,1,0,69,154.5,68,4.54,50%,480,60,0,50%,0,56,10:25,50%,25%,25%,60%,21%,20%,60%,18%,22%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/ASHMOUZ_YANAL_L_09-07.png?itok=z0Z1c91b
askar-askar,Askar Askar,Featherweight Division,11,1,0,67,145,69,0,0%,0,0,0,0%,0,0,0:00,45%,9%,45%,0%,0%,0%,0%,0%,0%,
askar-askarov,Askar Askarov,Flyweight Division,14,1,1,66,142,67,2.8,54%,260,67,0.4,25%,0,58,15:00,29%,50%,21%,76%,10%,14%,77%,10%,13%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/64d4b199-f8a4-42dd-8e20-fb92da0368b4%252FASKAROV_ASKAR_L_03-26.png?itok=Ar_FjJo6
