id,name,weightClass,wins,losses,draws,height,weight,reach,strikesLandedPerMin,strikingAccuracy,strikesAbsorbedPerMin,strikeDefense,takedownAvgPer15Min,takedownAccuracy,takedownDefense,submissionAvgPer15Min,avgFightTime,KoTkoPercentage,SubmissionPercentage,DecisionPercentage,StrikesByStanding,StrikesByClinching,StrikesByGround,StrikesToHead,StrikesToBody,StrikesToLegs,image
shonte-barnes,Shonte Barnes,Middleweight Division,0,1,0,71,185,76,1.55,38%,0,60,0,0%,0,68,7:46,0%,0%,0%,89%,11%,0%,22%,44%,33%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-10/71818%252Fprofile-galery%252Ffullbodyleft-picture%252FBARNES_SHONTE_L.png?itok=MYDlmYPO
james-barnes,James Barnes,Bantamweight Division,0,1,0,68,135,71,3.02,35%,108,40,0,17%,0,39,7:49,0%,0%,0%,63%,38%,0%,50%,25%,25%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-10/71054%252Fprofile-galery%252Ffullbodyright-picture%252FBARNES_JAMES_R.png?itok=H0IZxQX3
josh-barnett,Josh Barnett,Heavyweight Division,35,8,0,75,256,78,2.11,51%,126,56,1.38,55%,0.18,57,9:37,0%,0%,0%,36%,38%,26%,57%,35%,8%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68372/profile-galery/fullbodyleft-picture/Josh-Barnett_133_LeftFullBodyImage.png?VersionId=6Nabyfc.GizSpGsZXYruavhxvboSPUDR&itok=CBD7PfpF
chris-barnett,Chris Barnett,Heavyweight Division,23,9,0,69,264,75,6.53,47%,0,33,0,0%,0.39,39,7:36,78%,0%,22%,70%,7%,23%,60%,11%,29%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/5/BARNETT_CHRIS_L_09-10.png?itok=1XZeDKJR
david-baron,David Baron,Lightweight Division,14,3,0,66,155,,3.23,44%,0,14,1.13,0%,0,56,13:19,0%,0%,0%,71%,29%,0%,71%,29%,0%,
phil-baroni,Phil Baroni,Middleweight Division,13,13,0,69,186,72,3.93,45%,146,60,0.49,47%,0.65,41,9:14,0%,0%,0%,38%,29%,33%,66%,31%,2%,
marc-andre-barriault,Marc-Andre Barriault,Middleweight Division,16,9,0,73,185,74,5.58,48%,21,67,0.1,25%,0.31,52,10:20,63%,6%,31%,65%,27%,8%,72%,19%,9%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/BARRIAULT_MARC-ANDRE_L_11-02.png?itok=2-8aXFZm
alexandre-barros,Alexandre Barros,Welterweight Division,13,6,0,69,185,,4.05,40%,184,100,0,50%,0,37,8:09,0%,0%,0%,50%,38%,13%,13%,13%,75%,
francimar-barroso,Francimar Barroso,Light Heavyweight Division,19,7,0,73,205,75,3.07,53%,222,83,0,24%,0,59,12:45,53%,21%,26%,71%,24%,5%,47%,19%,34%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/6313f3d5-f68e-4b8b-aea2-872d3630732a%252FFrancimar-Barroso_450399_LeftFullBodyImage.png?itok=FOpZupuB
dean-barry,Dean Barry,Welterweight Division,4,2,0,70,170.5,72,4.66,40%,0,100,0,0%,3.88,51,3:52,0%,0%,0%,72%,22%,6%,69%,28%,3%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-04/e865bfc7-4c53-437d-987f-78df55710f1e%252FBARRY_DEAN_L_04-23.png?itok=PfrGvFHL
enrique-barzola,Enrique Barzola,Bantamweight Division,17,5,2,67,136,70,2.97,42%,420,67,0.3,46%,0,69,15:00,29%,24%,47%,72%,6%,21%,59%,22%,18%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2019-03/BARZOLA_ENRIQUE_L.png?VersionId=mQkqiuRZVTjFXGW2NFNTClbtbHNmbagv&itok=x3tKu8bp
farid-basharat,Farid Basharat,Featherweight Division,13,0,0,68,137,71,2.57,55%,397,80,0.47,45%,0,60,12:51,8%,46%,46%,67%,3%,30%,62%,18%,20%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/BASHARAT_FARID_L_10-26.png?itok=LBtLa64L
javid-basharat,Javid Basharat,Bantamweight Division,14,2,0,69,136,69,2.96,54%,162,84,0.18,41%,0,62,11:55,36%,43%,21%,75%,7%,18%,59%,28%,13%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-10/BASHARAT_JAVID_L_10-21.png?itok=83YjRfur
austin-bashi,Austin Bashi,Featherweight Division,13,1,0,66,145.5,70,2.71,49%,839,63,1.29,39%,0,47,11:38,23%,38%,38%,73%,24%,2%,58%,29%,13%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/1/BASHI_AUSTIN_L_01-11.png?itok=qaZFcvm8
shayna-baszler,Shayna Baszler,Women's Bantamweight Division,15,10,0,67,136,67,6.36,31%,67,44,1.34,18%,0,51,8:56,7%,87%,7%,76%,21%,4%,60%,19%,21%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/fa1d20f5-ebea-449d-8b66-4507a309db5e%252FShayna-Baszler_453482_LeftFullBodyImage.png?itok=5LRwdW_R
bahatebole-batebolati,Bahatebole Batebolati,Lightweight Division,2,0,0,,179.1,,4.83,46%,134,100,0,67%,0,61,11:11,0%,0%,0%,96%,1%,3%,53%,22%,24%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/BATEBOLATI_BAHATEBOLE_R.png?itok=TiViYiEx
cameron-bates,Cameron Bates,Unknown,0,0,0,,214.5,,0,0%,0,0,0,0%,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-07/BATES_CAMERON_L_07-07.png?itok=B3ZzI4tV
michel-batista,Michel Batista,Heavyweight Division,0,1,0,75,262.5,,4.03,0%,672,0,0,0%,0,40,2:14,0%,0%,0%,0%,0%,0%,0%,0%,0%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68814/profile-galery/fullbodyleft-picture/BATISTA_MICHEL_L.png?itok=OvdqrZ31
alan-baudot,Alan Baudot,Heavyweight Division,8,3,0,75,253,79,4.82,59%,0,63,0,0%,0.48,47,7:47,88%,0%,13%,67%,21%,12%,74%,17%,9%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-02/43c435e6-4a84-4b86-8672-1cd4f415dc63%252FBAUDOT_ALAN_L_02-19.png?itok=mY-lZPbx
mario-bautista,Mario Bautista,Bantamweight Division,15,2,0,69,136,72,3.91,47%,192,67,0.89,33%,0.15,54,9:14,20%,40%,40%,77%,17%,6%,63%,24%,13%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BAUTISTA_MARIO_L_01-13.png?itok=SveBx9ds
chris-beal,Chris Beal,Flyweight Division,10,3,0,66,134,69,3.18,36%,160,78,0.23,58%,0.23,62,13:06,30%,0%,70%,65%,13%,22%,85%,12%,3%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/a04eba71-0f1f-4262-a7ff-7831fd19164b%252FChris-Beal_453424_LeftFullBodyImage.png?itok=_rzUc38G
donavan-beard,Donavan Beard,Middleweight Division,0,1,0,,184,,5.77,0%,0,0,0,0%,0,29,0:52,0%,0%,0%,0%,0%,0%,0%,0%,0%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-02/BEARD_DONOVAN_R.png?itok=QFvtXIAX
johnny-bedford,Johnny Bedford,Bantamweight Division,19,13,1,70,136,,1.75,51%,183,63,0,63%,1.1,63,6:51,0%,0%,0%,42%,17%,41%,65%,30%,5%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/c2da64ae-2ac8-4a72-881c-3ba44fe31037%252FJohnny-Bedford_231419_LeftFullBodyImage.png?itok=SKmRdkf-
rolando-bedoya,Rolando Bedoya,Lightweight Division,14,4,0,71,163.6,74,6.38,49%,0,33,0,0%,0,53,15:00,29%,21%,50%,93%,7%,0%,51%,16%,33%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/BEDOYA_ROLANDO_L_05-06.png?itok=vlpniSXd
allan-begosso,Allan Begosso,Bantamweight Division,0,1,0,,135.5,,7.73,40%,0,25,2,0%,0,34,15:00,0%,0%,0%,44%,7%,48%,70%,19%,11%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-02/BEGOSSO_ALLAN_R.png?itok=TSLFhYMX
azamat-bekoev,Azamat Bekoev,Middleweight Division,19,3,0,72,186,72,4.24,81%,489,0,0,50%,0,46,3:04,37%,42%,21%,14%,0%,86%,76%,14%,10%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/BEKOEV_AZAMAT_L_01-18.png?itok=94cg-Bb_
mirsad-bektic,Mirsad Bektic,Featherweight Division,13,4,0,68,144.5,70,1.8,42%,398,92,0.44,53%,0.29,58,10:10,54%,15%,31%,42%,11%,47%,83%,12%,5%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/4769f05a-1654-4e03-a5b5-7f1e6ff932ad%252FBEKTIC_MIRSAD_L_07-13.png?itok=8lZeFn4f
diana-belbita,Diana Belbita,Women's Flyweight Division,15,9,0,67,116,68,6.55,43%,91,66,0,63%,0.18,52,11:49,43%,29%,29%,82%,15%,3%,57%,26%,17%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/BELBITA_DIANA_L_02-03.png?itok=NMc2hP-I
alan-belcher,Alan Belcher,Middleweight Division,17,7,0,74,185,75,3.1,42%,44,55,0.87,27%,0.33,60,9:11,0%,0%,0%,68%,16%,17%,57%,16%,27%,
vitor-belfort,Vitor Belfort,Middleweight Division,26,14,0,72,184,74,2.83,46%,102,54,0.61,60%,0.75,51,7:21,0%,0%,0%,44%,18%,38%,71%,18%,11%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/eea6bb31-42c1-4fde-b13c-27a18a9c26d5%252FVitor-Belfort_19_LeftFullBodyImage.png?itok=dJPB6th3
yousri-belgaroui,Yousri Belgaroui,Middleweight Division,1,1,0,,,,2.65,61%,0,82,0,0%,0.54,58,13:47,0%,0%,0%,81%,19%,0%,55%,30%,16%,
cody-belisle,Cody Belisle,Unknown,0,0,0,,,,0,0%,0,0,0,0%,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,
rodolfo-bellato,Rodolfo Bellato,Light Heavyweight Division,12,2,1,75,205,77.5,6.31,62%,106,100,0.35,30%,0.35,46,10:40,58%,33%,8%,58%,23%,19%,64%,21%,15%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-11/BELLATO_RODOLFO_L_12-02.png?itok=jQNws-lc
danilo-belluardo,Danilo Belluardo,Lightweight Division,12,5,0,72,156,74.5,4.79,62%,350,50,0,100%,0,41,4:17,50%,25%,25%,62%,0%,38%,69%,0%,31%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67740/profile-galery/fullbodyleft-picture/BELLUARDO_DANILO_L.png?itok=AP_Cepsk
joey-beltran,Joey Beltran,Light Heavyweight Division,14,9,0,73,205,75,5.27,36%,48,76,0,19%,0,54,12:36,0%,0%,0%,63%,31%,6%,69%,16%,15%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Joey_Beltran/JoeyBeltran_FullBody_BC.png?VersionId=K0jtTW9pamUrcQFqFbzxHnuJFBY4pHbn&itok=KGpX8D1P
marco-beltran,Marco Beltran,Flyweight Division,8,7,0,68,126,69.5,1.93,38%,70,46,0.23,50%,0.23,63,10:47,25%,50%,25%,59%,22%,19%,57%,22%,22%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/3e9e3f8f-83aa-4797-8d28-0cbfacdf6f9a%252Fmarco-beltran_498731_LeftFullBodyImage.png?itok=SWOtquF9
joseph-benavidez,Joseph Benavidez,Flyweight Division,28,8,0,64,125.5,65,2.67,35%,141,62,0.59,31%,0.36,61,11:23,29%,32%,39%,80%,12%,9%,53%,26%,20%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Joseph_Benavidez/BENAVIDEZ_JOSEPH_L.png?VersionId=a8wJrP2mqxdlJbDOx5fZtlHCdVZrg3tZ&itok=Kw523k2B
dave-beneteau,Dave Beneteau,Heavyweight Division,0,0,0,0,0,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
gabriel-benitez,Gabriel Benitez,Lightweight Division,23,13,0,68,155,71,4.49,42%,22,56,0.86,50%,0.43,64,9:16,39%,43%,17%,90%,3%,7%,57%,23%,21%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-04/BENITEZ_GABRIEL_L_04-27.png?itok=6PLPu84Z
lance-benoist,Lance Benoist,Welterweight Division,7,2,0,71,169,72,2.7,51%,150,62,0,33%,0.25,57,15:00,14%,57%,29%,62%,14%,25%,60%,29%,12%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/f2adc130-65ab-4f08-a4fb-7433f779a3c8%252FLance-Benoist_206060_LeftFullBodyImage.png?itok=8Jjs-sMS
ryan-benoit,Ryan Benoit,Flyweight Division,10,8,0,65,126,68.5,3.65,39%,28,72,0.42,22%,0.71,58,11:49,80%,10%,10%,81%,11%,7%,76%,16%,8%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-05/69168%252Fprofile-galery%252Ffullbodyleft-picture%252FBENOIT_RYAN_L_05-08.png?itok=pmUejjCu
steve-berger,Steve Berger,Welterweight Division,15,6,3,71,169,,3.26,28%,84,17,1.67,40%,0,36,8:59,0%,0%,0%,50%,36%,14%,56%,36%,8%,
kenneth-bergh,Kenneth Bergh,Light Heavyweight Division,6,0,0,74,0,76,1.27,75%,0,0,0,0%,0,29,3:57,0%,0%,0%,6%,94%,0%,0%,0%,100%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2020-07/BERGH_KENNETH_L_07-15.png?VersionId=uLey7V9XY6Vk5cEfWxxU85o4KLhOFtN3&itok=omSsit0J
manny-bermudez,Manny Bermudez,Bantamweight Division,14,2,0,70,148,71.5,2.68,61%,306,0.51,3.06,55%,0.51,47,5:53,7%,79%,14%,38%,3%,58%,84%,16%,0%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68663/profile-galery/fullbodyleft-picture/BERMUDEZ_MANNY_L.png?VersionId=3ddQXQjgIvzQqFMzW1QUKjCReufy6qzw&itok=syJNq5ew
tenisu-hamiyutesu,Dennis Bermudez,Lightweight Division,18,9,0,66,155.8,66,3.07,46%,389,83,1.07,40%,0.38,59,11:35,24%,24%,53%,53%,18%,29%,67%,15%,18%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Dennis_Bermudez/BERMUDEZ_DENNIS_L.png?itok=Z5e4yDHr
talita-bernardo,Talita Bernardo,Women's Bantamweight Division,6,4,0,64,134.5,68,4.04,42%,162,29,0.54,22%,0,56,13:56,0%,67%,33%,85%,4%,11%,61%,14%,25%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Talita_Bernardo/BERNARDO_TALITA_L.png?VersionId=8DVg7eAQkKaiCTn4NsJrCrxAqnG.9Glw&itok=dEREsf_A
skott-beyker-0,Dave Berry,,0,0,0,0,0,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
deyv-beneto-0,Dieusel Berto,,0,0,0,0,0,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
allen-berube,Allen Berube,Lightweight Division,2,1,0,68,153,,0.92,80%,687,0,3.44,100%,0,33,4:22,0%,0%,0%,0%,0%,100%,100%,0%,0%,
anton-berzin,Anton Berzin,Light Heavyweight Division,5,2,0,74,205,,6.8,47%,200,0,1,29%,0,67,15:00,20%,80%,0%,95%,2%,3%,38%,42%,20%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/4d566a31-edef-4fb1-826b-9661bebdd340%252Fanton-berzin_480092_LeftFullBodyImage.png?itok=zwyxgFVe
matt-bessette,Matt Bessette,Featherweight Division,22,9,0,70,145.5,70.5,4.45,41%,64,61,0.32,29%,0.32,59,9:21,32%,36%,32%,71%,11%,18%,70%,21%,9%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68767/profile-galery/fullbodyleft-picture/Matt-Bessette_631437_LeftFullBodyImage.png?VersionId=nmMj2947yMkdiHY2z.EvjvzYDlshYECk&itok=5GbKR9pP
khadzhimurat-bestaev,Khadzhimurat Bestaev,Middleweight Division,0,1,0,,184,,10,30%,0,0,0,0%,0,43,1:18,0%,0%,0%,100%,0%,0%,63%,13%,25%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/a9696141-28ff-45f3-94a3-d2e015766d00%252FBESTAEV_KHADZHIMURAT_R.png?itok=rgZtXwyG
kb-bhullar,KB Bhullar,Middleweight Division,8,2,0,76,186,78,5.39,49%,0,0,0,0%,0,45,8:21,50%,25%,25%,99%,1%,0%,7%,17%,76%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-05/71665%252Fprofile-galery%252Ffullbodyleft-picture%252FBHULLAR_KB_L_05-01.png?itok=3y_uDwqa
magomed-bibulatov,Magomed Bibulatov,Flyweight Division,14,2,0,65,127,65.5,1.83,51%,285,75,0,40%,0,52,10:33,14%,36%,50%,54%,16%,31%,52%,41%,7%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2019-01/BIBULATOV_MAGOMED_L.png?VersionId=7g6frsMoc3voqCOsezdXm1ZugaIky.oP&itok=zb9MSwx5
david-bielkheden,David Bielkheden,Lightweight Division,13,7,0,70,157,,1.64,57%,265,14,0,64%,0,55,9:55,0%,0%,0%,9%,45%,45%,77%,16%,7%,
blake-bilder,Blake Bilder,Featherweight Division,8,2,1,68,144.5,68.5,4.15,48%,31,71,0.62,8%,0,54,12:04,14%,57%,29%,92%,7%,1%,53%,9%,38%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-02/BILDER_BLAKE_L_02-11.png?itok=2ZYuH6Q9
jonas-bilharinho,Jonas Bilharinho,Featherweight Division,1,0,0,71,146,75.5,3.36,60%,0,100,0,0%,1.07,58,14:00,0%,0%,0%,85%,15%,0%,69%,27%,4%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-11/68323%252Fprofile-galery%252Ffullbodyleft-picture%252FBILHARINHO_JONAS_L.png?itok=DUYGG1yk
xie-bin,Xie Bin,Featherweight Division,2,2,0,,145.5,,3.18,48%,215,40,0,36%,1.29,59,8:43,0%,0%,0%,94%,1%,5%,69%,17%,14%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/BIN_XIE_L_05-18.png?itok=21zU0sHw
anthony-birchak,Anthony Birchak,Bantamweight Division,16,8,0,68,135.5,69,3.67,37%,48,62,0.48,14%,0.96,57,5:13,31%,50%,19%,67%,22%,11%,54%,26%,20%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-05/67356%252Fprofile-galery%252Ffullbodyleft-picture%252FBIRCHAK_ANTHONY_L_04-17.png?itok=IHLge3Gt
chris-birchler,Chris Birchler,Light Heavyweight Division,7,4,0,75,205,,14.83,47%,0,0,0,0%,0,35,4:23,0%,0%,0%,100%,0%,0%,90%,10%,0%,
michael-bisping,Michael Bisping,Middleweight Division,31,9,0,73,186,75.5,2.71,38%,105,63,0.32,43%,0.4,65,11:37,0%,0%,0%,80%,9%,11%,72%,13%,15%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/e285d3e7-8514-48ec-9ea0-7936e956b507%252FMichael-Bisping_758_LeftFullBodyImage.png?itok=IVO-l3Go
amaury-bitetti,Amaury Bitetti,Middleweight Division,0,0,0,0,0,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
caio-bittencourt,Caio Bittencourt,Middleweight Division,0,1,0,70,186,75,0.57,17%,0,0,0,0%,0,33,3:29,0%,0%,0%,100%,0%,0%,0%,0%,100%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-09/71765%252Fprofile-galery%252Ffullbodyright-picture%252FBITTENCOURT_CAIO_R.png?itok=dSBnnqHD
simon-biyong,Simon Biyong,Light Heavyweight Division,0,0,0,,,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
jan-blachowicz,Jan Błachowicz,Light Heavyweight Division,29,11,1,74,205,78,3.03,50%,103,69,0.33,49%,0.33,53,13:11,31%,31%,38%,77%,11%,12%,61%,21%,18%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/BLACHOWICZ_JAN_L_03-22.png?itok=TDS_PpCh
jason-black,Jason Black,Lightweight Division,22,4,1,68,156,,2.6,48%,48,29,6.25,33%,0,45,9:22,0%,0%,0%,27%,21%,52%,82%,18%,0%,
brad-blackburn,Brad Blackburn,Welterweight Division,15,11,1,70,170,,3.59,36%,93,77,0.7,50%,1.16,65,12:55,0%,0%,0%,87%,5%,8%,62%,15%,23%,
tom-blackledge,Tom Blackledge,Light Heavyweight Division,10,7,0,75,205,,2.55,62%,0,75,0,0%,0,46,2:45,0%,0%,0%,50%,0%,50%,75%,13%,13%,
sherrard-blackledge,Sherrard Blackledge,Lightweight Division,1,1,0,,155,,3.13,50%,400,43,0,33%,0,55,15:00,0%,0%,0%,59%,35%,6%,61%,32%,6%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/0016949c-4b66-41c3-969f-70932bf89382%252FBLACKLEDGE_SHERRAD_R.png?itok=IOzyFdPv
damon-blackshear,Da'Mon Blackshear,Bantamweight Division,16,7,1,70,136,72,4.17,46%,189,70,1.89,36%,0,48,8:56,13%,69%,19%,67%,21%,11%,56%,21%,24%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/BLACKSHEAR_DAMON_L_03-15.png?itok=WBc-6yhy
erin-blanchfield,Erin Blanchfield,Women's Flyweight Division,13,2,0,64,125.5,66,4.21,44%,186,80,0.8,32%,0,59,14:07,15%,31%,54%,75%,7%,18%,70%,16%,13%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BLANCHFIELD_ERIN_L_11-02.png?itok=ZdlC4gmO
maximo-blanco,Maximo Blanco,Featherweight Division,12,8,1,68,145.5,71,3.19,44%,185,64,0.34,37%,0.34,66,8:54,67%,0%,33%,81%,16%,3%,75%,14%,11%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/aa3ae66b-5534-4c16-a838-a1f2bd3c2170%252FMaximo-Blanco_238067_LeftFullBodyImage.png?itok=c7LTqt2R
curtis-blaydes,Curtis Blaydes,Heavyweight Division,18,5,0,76,262,80,1.91,50%,569,32,0,53%,0.18,59,8:36,72%,0%,28%,46%,13%,42%,69%,12%,19%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/BLAYDES_CURTIS_L_03-08.png?itok=u46HNVJN
tereza-bleda,Tereza Bleda,Women's Flyweight Division,7,1,0,69,125,71,1.86,53%,181,83,0.72,28%,0.36,47,13:49,29%,29%,43%,39%,10%,51%,69%,20%,11%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/BLEDA_TEREZA_L_06-17.png?itok=tUrFDiqv
dashawn-boatwright,Dashawn Boatwright,Light Heavyweight Division,3,2,0,72,204,76,52.5,0%,0,0,0,0%,0,13,0:08,0%,0%,0%,0%,0%,0%,0%,0%,0%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Dashawn_Boatwright/BOATWRIGHT_DESHAWN_R.png?VersionId=XTFMVXeLqz_gsXvT1waBSsbVBVuwb4Vh&itok=V-1wD-aC
daniel-bobish,Daniel Bobish,Heavyweight Division,0,0,0,0,0,,1.74,45%,244,0,1.63,43%,0,35,6:09,0%,0%,0%,0%,0%,100%,87%,13%,0%,
mark-bocek,Mark Bocek,Lightweight Division,12,5,0,68,156,75,2.32,44%,365,31,1.32,37%,0,61,11:23,0%,0%,0%,30%,31%,39%,61%,21%,18%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Mark_Bocek/fighter_fullLength_MARK_BOCEK_RC.png?VersionId=OuyH6mxCwo7oDkttxoUvTi756pM94O4C&itok=LgVjkJWG
kyle-bochniak,Kyle Bochniak,Featherweight Division,8,5,0,67,145,70,5.11,31%,114,63,0,15%,0.14,58,15:00,25%,25%,50%,88%,10%,2%,62%,16%,21%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2018-12/BOCHNIAK_KYLE_L.png?VersionId=ZFlkKge7j8zozQM.FSTdvM8RSRpCOeXU&itok=yfVncmMX
james-bochnovic,James Bochnovic,Middleweight Division,8,3,0,76,186,81,3.64,27%,0,0,0,0%,0,21,6:11,13%,88%,0%,63%,13%,25%,25%,50%,25%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-08/James-Bochnovic_632519_LeftFullBodyImage.png?itok=KzecAUY0
tim-boetsch,Tim Boetsch,Middleweight Division,21,13,0,72,185,74,2.9,51%,145,59,0.76,34%,0.48,57,9:02,62%,14%,24%,63%,25%,12%,57%,25%,17%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Tim_Boetsch/BOETSCH_TIM_L.png?VersionId=SqHnE1bMaD0Zp26o1WhqWIWmbYwSCRYX&itok=XJtF2ZZO
roman-bogatov,Roman Bogatov,Lightweight Division,10,1,0,68,155.5,73.5,4.4,43%,100,50,0,9%,0,45,15:00,10%,50%,40%,74%,12%,14%,48%,40%,12%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2020-07/BOGATOV_ROMAN_L_07-11.png?VersionId=K8DqEK0PUbjcvJ1a7dqkK8lMOiFWA2cF&itok=zNCRJRQi
jerry-bohlander,Jerry Bohlander,Middleweight Division,0,0,0,0,0,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
mandy-bohm,Mandy Böhm,Women's Flyweight Division,8,2,0,67,126,71,3.24,45%,72,75,0.72,18%,0,60,13:58,29%,29%,43%,72%,26%,2%,50%,28%,22%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-02/BOHM_MANDY_L_02-04.png?itok=WxwflDMp
gaston-bolanos,Gaston Bolanos,Bantamweight Division,8,4,0,67,135.5,69,2.57,51%,78,43,0,100%,0,52,12:50,75%,0%,25%,69%,6%,24%,47%,23%,30%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/BOLANOS_GASTON_L_11-09.png?itok=P9wYAPE5
denys-bondar,Denys Bondar,Flyweight Division,14,5,0,66,136.7,69,5.16,51%,399,63,0,58%,0,57,8:47,29%,64%,7%,86%,8%,6%,50%,31%,19%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/BONDAR_DENYS_L_06-17.png?itok=xoH_6-lu
gabriel-bonfim,Gabriel Bonfim,Welterweight Division,17,1,0,73,170,72.5,3.8,44%,368,73,2.21,77%,0,65,6:48,18%,76%,6%,89%,9%,2%,68%,18%,15%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-07/BONFIM_GABRIEL_L_07_25.png?itok=GjamE7k4
ismael-bonfim,Ismael Bonfim,Lightweight Division,20,5,0,68,156,71.5,3.1,55%,96,77,0,33%,0.64,71,9:25,45%,20%,35%,89%,9%,2%,67%,20%,12%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/BONFIM_ISMAEL_L_02-15.png?itok=_UPTVwez
jesse-bongfeldt,Jesse Bongfeldt,Middleweight Division,15,5,1,72,185,,1.01,62%,151,33,0,33%,0,50,9:57,0%,0%,0%,26%,16%,59%,67%,19%,14%,
stephan-bonnar,Stephan Bonnar,Light Heavyweight Division,17,8,0,76,205,80,3.01,38%,132,60,1.01,40%,0.16,52,11:20,0%,0%,0%,50%,29%,21%,72%,18%,9%,
